weather_code,max_temp,min_temp,mean_temp,snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (mp/h),range_temp,LA,Boston,Chicago,Year,Phase_encoded
2,61.2,44.2,50.7,0.0,0,8.5,17.0,1,0,0,2020,5
3,59.8,44.9,51.1,0.0,0,7.3,14.9,1,0,0,2020,5
3,63.8,43.1,52.2,0.0,0,6.7,20.7,1,0,0,2020,5
51,60.2,42.9,50.7,0.0,7,9.9,17.300000000000004,1,0,0,2020,6
61,60.5,47.6,52.2,0.0,6,9.1,12.9,1,0,0,2020,6
3,67.1,39.7,51.1,0.0,0,5.5,27.39999999999999,1,0,0,2020,6
3,68.8,41.5,52.5,0.0,0,4.6,27.3,1,0,0,2020,7
3,64.5,48.4,56.3,0.0,0,6.5,16.1,1,0,0,2020,7
51,60.5,52.9,56.0,0.0,6,5.6,7.600000000000001,1,0,0,2020,7
3,61.8,46.3,52.3,0.0,0,8.7,15.5,1,0,0,2020,7
3,72.1,47.3,56.5,0.0,0,6.1,24.8,1,0,0,2020,8
3,70.7,52.1,59.3,0.0,0,7.6,18.6,1,0,0,2020,8
3,70.0,46.9,56.3,0.0,0,6.3,23.1,1,0,0,2020,7
3,66.2,48.9,54.8,0.0,0,6.1,17.300000000000004,1,0,0,2020,7
3,71.7,47.0,55.0,0.0,0,9.6,24.700000000000003,1,0,0,2020,6
2,74.6,45.6,58.0,0.0,0,11.6,28.999999999999996,1,0,0,2020,5
1,72.9,46.4,57.7,0.0,0,8.1,26.500000000000007,1,0,0,2020,5
3,74.3,45.3,59.1,0.0,0,7.8,29.0,1,0,0,2020,4
3,79.7,48.2,61.5,0.0,0,6.0,31.5,1,0,0,2020,3
3,82.9,53.9,65.7,0.0,0,8.6,29.000000000000007,1,0,0,2020,3
2,80.1,57.0,64.9,0.0,0,9.9,23.099999999999994,1,0,0,2020,2
51,64.8,48.0,55.5,0.0,2,23.2,16.799999999999997,1,0,0,2020,2
0,60.2,38.4,48.8,0.0,0,12.7,21.800000000000004,1,0,0,2020,3
2,62.9,35.0,48.0,0.0,0,12.9,27.9,1,0,0,2020,3
2,65.7,41.7,51.0,0.0,0,8.4,24.0,1,0,0,2020,3
0,69.5,42.2,54.2,0.0,0,8.9,27.3,1,0,0,2020,3
1,69.6,43.4,55.0,0.0,0,9.8,26.2,1,0,0,2020,4
51,62.6,48.7,53.9,0.0,11,10.7,13.9,1,0,0,2020,4
51,68.8,47.0,54.1,0.0,4,10.0,21.8,1,0,0,2020,4
0,72.9,44.1,58.4,0.0,0,11.9,28.800000000000004,1,0,0,2020,5
1,66.5,45.4,54.9,0.0,0,10.4,21.1,1,0,0,2020,5
2,69.0,44.7,55.3,0.0,0,8.7,24.3,1,0,0,2020,5
3,69.9,46.6,56.2,0.0,0,11.7,23.300000000000004,1,0,0,2020,6
1,69.0,44.4,54.7,0.0,0,10.5,24.6,1,0,0,2020,6
1,69.8,45.9,56.3,0.0,0,8.9,23.9,1,0,0,2020,6
3,72.5,46.1,56.6,0.0,0,8.2,26.4,1,0,0,2020,6
3,72.5,49.9,58.4,0.0,0,9.9,22.6,1,0,0,2020,7
3,69.6,52.2,59.0,0.0,0,10.6,17.39999999999999,1,0,0,2020,7
0,80.0,49.2,60.9,0.0,0,7.8,30.8,1,0,0,2020,7
2,78.5,57.4,65.3,0.0,0,9.6,21.1,1,0,0,2020,8
61,74.6,53.4,59.4,0.0,11,10.0,21.2,1,0,0,2020,8
51,67.3,51.2,57.0,0.0,3,10.3,16.099999999999994,1,0,0,2020,8
2,67.0,47.6,55.1,0.0,0,7.4,19.4,1,0,0,2020,7
0,81.9,48.2,59.7,0.0,0,6.9,33.7,1,0,0,2020,6
2,78.8,50.3,63.6,0.0,0,9.2,28.5,1,0,0,2020,6
3,85.5,50.4,64.9,0.0,0,10.4,35.1,1,0,0,2020,5
3,85.9,59.4,71.2,0.0,0,12.7,26.500000000000007,1,0,0,2020,4
3,81.0,54.8,64.3,0.0,0,13.4,26.200000000000003,1,0,0,2020,4
51,68.8,53.6,57.7,0.0,6,13.7,15.199999999999996,1,0,0,2020,3
53,71.2,46.0,55.0,0.0,6,10.3,25.200000000000003,1,0,0,2020,2
0,82.1,50.3,64.2,0.0,0,17.7,31.8,1,0,0,2020,2
3,76.1,50.0,61.7,0.0,0,10.6,26.099999999999994,1,0,0,2020,3
3,76.1,50.7,59.9,0.0,0,9.2,25.39999999999999,1,0,0,2020,3
3,72.8,50.9,61.1,0.0,0,11.1,21.9,1,0,0,2020,3
51,65.9,51.8,57.0,0.0,12,13.9,14.100000000000009,1,0,0,2020,3
51,65.4,49.2,56.0,0.0,11,12.0,16.200000000000003,1,0,0,2020,4
3,71.8,48.2,56.6,0.0,0,10.2,23.599999999999994,1,0,0,2020,4
63,72.8,55.4,61.4,0.0,17,19.8,17.4,1,0,0,2020,4
63,65.8,56.0,59.7,0.0,21,8.3,9.799999999999995,1,0,0,2020,5
63,66.8,52.2,58.8,0.0,7,15.5,14.599999999999994,1,0,0,2020,5
63,59.8,52.7,54.9,0.0,24,8.5,7.099999999999994,1,0,0,2020,5
53,60.7,51.1,55.0,0.0,17,7.3,9.6,1,0,0,2020,5
53,61.9,51.0,55.5,0.0,12,11.3,10.9,1,0,0,2020,6
53,59.9,50.6,54.9,0.0,5,17.2,9.299999999999995,1,0,0,2020,6
63,56.6,41.4,50.6,0.0,10,10.7,15.200000000000005,1,0,0,2020,6
51,60.6,40.5,49.0,0.0,1,13.5,20.1,1,0,0,2020,6
51,59.9,44.6,51.6,0.0,3,12.1,15.299999999999995,1,0,0,2020,7
61,61.7,48.1,53.4,0.0,16,7.9,13.6,1,0,0,2020,7
53,62.6,51.5,56.4,0.0,10,7.7,11.1,1,0,0,2020,7
51,66.8,49.7,56.9,0.0,1,9.8,17.099999999999994,1,0,0,2020,8
63,61.6,51.8,56.4,0.0,19,12.3,9.800000000000004,1,0,0,2020,8
53,62.8,48.2,54.9,0.0,4,10.3,14.599999999999994,1,0,0,2020,8
51,60.1,51.1,55.1,0.0,6,13.4,9.0,1,0,0,2020,7
51,59.4,40.3,51.1,0.0,3,16.1,19.1,1,0,0,2020,6
53,62.5,40.2,49.6,0.0,2,15.9,22.3,1,0,0,2020,6
3,64.8,45.5,53.6,0.0,0,11.1,19.3,1,0,0,2020,5
3,64.2,46.3,54.9,0.0,0,11.3,17.900000000000006,1,0,0,2020,4
51,71.7,45.6,56.1,0.0,3,10.1,26.1,1,0,0,2020,4
3,77.2,51.0,61.2,0.0,0,11.9,26.200000000000003,1,0,0,2020,3
3,74.6,51.7,62.2,0.0,0,11.0,22.89999999999999,1,0,0,2020,2
51,72.7,54.7,61.5,0.0,1,13.0,18.0,1,0,0,2020,2
3,70.4,51.0,60.2,0.0,0,12.0,19.40000000000001,1,0,0,2020,3
51,68.9,52.7,59.3,0.0,4,12.5,16.200000000000003,1,0,0,2020,3
51,64.1,53.6,58.4,0.0,7,11.3,10.499999999999991,1,0,0,2020,3
65,61.2,53.8,56.4,0.0,21,11.3,7.400000000000006,1,0,0,2020,3
53,60.5,50.0,54.5,0.0,13,12.5,10.5,1,0,0,2020,4
63,58.2,48.2,52.8,0.0,22,8.3,10.0,1,0,0,2020,4
61,55.4,49.0,51.4,0.0,20,10.6,6.399999999999999,1,0,0,2020,4
63,57.2,48.3,51.7,0.0,24,12.1,8.900000000000006,1,0,0,2020,5
53,69.2,45.5,54.8,0.0,1,11.9,23.700000000000003,1,0,0,2020,5
53,63.0,52.7,56.6,0.0,7,7.7,10.299999999999995,1,0,0,2020,5
51,62.8,54.4,57.7,0.0,7,12.0,8.399999999999999,1,0,0,2020,6
3,72.5,49.9,56.8,0.0,0,10.3,22.6,1,0,0,2020,6
0,76.8,46.6,61.2,0.0,0,11.4,30.2,1,0,0,2020,6
0,72.8,51.8,61.1,0.0,0,10.4,21.0,1,0,0,2020,6
51,67.6,52.0,58.2,0.0,4,9.0,15.599999999999994,1,0,0,2020,7
51,65.7,53.0,58.8,0.0,9,10.9,12.700000000000005,1,0,0,2020,7
3,66.2,49.4,57.4,0.0,0,12.4,16.800000000000004,1,0,0,2020,7
51,64.9,51.4,58.1,0.0,3,11.0,13.500000000000009,1,0,0,2020,7
3,74.1,52.7,60.9,0.0,0,15.9,21.39999999999999,1,0,0,2020,8
1,81.9,50.5,62.9,0.0,0,10.7,31.40000000000001,1,0,0,2020,8
0,91.1,57.1,74.7,0.0,0,17.3,33.99999999999999,1,0,0,2020,8
2,96.8,58.4,75.4,0.0,0,11.0,38.4,1,0,0,2020,7
3,93.9,61.7,77.9,0.0,0,13.2,32.2,1,0,0,2020,6
3,88.4,59.8,73.8,0.0,0,11.0,28.60000000000001,1,0,0,2020,5
3,83.1,58.6,69.3,0.0,0,11.5,24.499999999999996,1,0,0,2020,5
0,86.9,59.9,71.1,0.0,0,11.5,27.000000000000007,1,0,0,2020,4
3,82.0,57.2,67.1,0.0,0,11.2,24.8,1,0,0,2020,3
3,78.6,58.4,65.5,0.0,0,10.9,20.2,1,0,0,2020,2
3,81.4,58.0,66.6,0.0,0,10.7,23.40000000000001,1,0,0,2020,2
3,80.1,57.2,67.1,0.0,0,13.2,22.89999999999999,1,0,0,2020,3
3,79.0,55.5,65.4,0.0,0,13.5,23.5,1,0,0,2020,3
3,84.0,53.9,65.5,0.0,0,10.1,30.1,1,0,0,2020,3
0,90.9,62.4,74.4,0.0,0,12.2,28.500000000000007,1,0,0,2020,3
3,94.3,64.4,76.8,0.0,0,13.1,29.89999999999999,1,0,0,2020,4
3,95.6,63.7,78.5,0.0,0,12.3,31.89999999999999,1,0,0,2020,4
3,88.2,58.9,73.1,0.0,0,11.1,29.300000000000004,1,0,0,2020,4
3,80.4,58.8,68.9,0.0,0,9.6,21.60000000000001,1,0,0,2020,5
51,75.6,56.7,65.2,0.0,1,10.8,18.89999999999999,1,0,0,2020,5
3,75.2,56.6,64.1,0.0,0,12.8,18.6,1,0,0,2020,5
3,72.4,53.6,62.6,0.0,0,16.6,18.800000000000004,1,0,0,2020,5
2,76.1,55.1,64.2,0.0,0,12.5,20.999999999999996,1,0,0,2020,6
2,80.2,55.5,65.6,0.0,0,17.6,24.700000000000003,1,0,0,2020,6
3,79.7,57.5,67.6,0.0,0,12.2,22.200000000000003,1,0,0,2020,6
3,85.0,58.4,69.9,0.0,0,11.7,26.6,1,0,0,2020,6
3,81.9,58.5,69.0,0.0,0,11.5,23.40000000000001,1,0,0,2020,7
61,75.6,61.2,66.0,0.0,8,12.1,14.399999999999991,1,0,0,2020,7
1,71.6,53.7,62.1,0.0,0,14.1,17.89999999999999,1,0,0,2020,7
3,74.4,52.8,63.3,0.0,0,14.7,21.60000000000001,1,0,0,2020,8
0,84.7,53.8,67.1,0.0,0,13.5,30.90000000000001,1,0,0,2020,8
3,82.4,57.4,69.0,0.0,0,12.4,25.000000000000007,1,0,0,2020,8
3,76.4,57.9,65.8,0.0,0,13.2,18.500000000000007,1,0,0,2020,7
3,82.3,55.2,65.7,0.0,0,12.2,27.099999999999994,1,0,0,2020,6
3,84.8,57.8,68.2,0.0,0,11.8,27.0,1,0,0,2020,6
0,88.8,57.7,70.8,0.0,0,13.5,31.099999999999994,1,0,0,2020,5
0,84.7,58.1,69.0,0.0,0,11.2,26.6,1,0,0,2020,4
3,79.4,56.6,66.5,0.0,0,10.6,22.800000000000004,1,0,0,2020,4
3,76.1,58.4,64.9,0.0,0,10.0,17.699999999999996,1,0,0,2020,3
3,77.9,56.6,65.6,0.0,0,16.6,21.300000000000004,1,0,0,2020,2
51,78.8,56.8,66.0,0.0,1,15.2,22.0,1,0,0,2020,2
